wall, wall, wall, wall, wall, wall, wall, wall, wall, 
wall, floor, floor, floor, wall, floor, floor, floor, wall, 
wall, floor, floor, floor, wall, floor, wall, floor, wall, 
wall, floor, wall, floor, wall, floor, floor, floor, wall, 
wall, floor, wall, floor, floor, floor, wall, floor, wall, 
wall, floor, wall, floor, wall, floor, wall, floor, wall, 
wall, floor, floor, floor, wall, floor, wall, floor, wall, 
wall, floor, floor, floor, wall, floor, floor, floor, wall, 
wall, floor, floor, floor, wall, floor, floor, floor, wall, 
wall, floor, floor, floor, wall, floor, floor, floor, wall, 
wall, floor, wall, floor, wall, floor, floor, floor, wall, 
wall, floor, wall, floor, floor, floor, wall, floor, wall, 
wall, floor, wall, floor, wall, floor, wall, floor, wall, 
wall, floor, floor, floor, wall, floor, wall, floor, wall, 
wall, floor, floor, floor, wall, floor, floor, floor, wall, 
wall, wall, wall, wall, wall, wall, wall, wall, wall, 
